sample_id	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	gender
HG00097	0.0168606508523226	0.0227549262344837	-0.0272093284875154	-0.0249575227499008	0.0225371159613132	-0.040614191442727994	0.0751950815320015	-0.0254389047622681	-0.0029964032582938697	-0.0195346791297197	0.0545885339379311	-0.0698260590434074	-0.04848866164684299	0.0537102445960045	-0.0112617826089263	0.0436038672924042	-0.0114836869761348	0.0132612586021423	0.025505468249320998	-0.0564702711999416	0.0410871207714081	-0.0361353643238544	0.0841991752386093	0.10170242190361001	0.034409012645483	0.00962826423346996	0.0297558140009642	0.0708223208785057	-0.0685686618089676	-0.125798583030701	0.0133799007162452	0.0328637957572937	0.0675162523984909	0.0863495767116547	0.0302727166563272	-0.0330462791025639	0.0769267231225967	0.0177961178123951	-0.0266573391854763	0.0549633018672466	-0.103168956935406	-0.0189471263438463	-0.0376470126211643	0.00373139674775302	0.0057	0.0265	-0.011	-0.0065	0.0036	0.0122	-0.0047	0.0093	0.0178	-0.0093	0
HG00099	-0.00819255784153938	0.0274061243981123	0.0494708269834518	0.0803370624780655	-0.036745160818099996	-0.0242975857108831	-0.0436099320650101	-5.4252202971838394e-05	0.0218058750033379	-0.0784583911299706	0.149303436279297	0.0129756340757012	-0.0298431497067213	0.0256109237670898	-0.0168650485575199	0.0715744942426682	0.0691226273775101	0.00746463565155864	-0.053054217249154996	0.0788843482732773	0.0598583146929741	0.0404778495430946	-0.0353371426463127	-0.0232059713453054	-0.0790193006396294	0.027593832463026	-0.0418337732553482	-0.0390959978103638	-0.0737330988049507	-0.00013395566202234498	-0.0830340534448624	0.0818309187889099	-0.0843655169010162	0.0714246183633804	0.0110605359077454	0.0553299263119698	-0.12690624594688402	0.0130631560459733	-0.14773452281951902	0.0719144120812416	-0.00869386922568083	-0.0128098726272583	0.0533606000244617	-0.11489795893430699	0.0057	0.0267	-0.0098	-0.0068	0.0046	0.0168	-0.0049	0.0133	0.0125	-0.0154	0
HG00100	0.0430372022092342	0.00213281949982047	-0.00553408777341247	0.0204949676990509	0.047743733972311	0.0105804996564984	0.0402501299977303	0.00815261714160442	0.0645469501614571	0.027136605232953998	0.066346138715744	-0.007775330450385809	0.0341344177722931	0.0816150009632111	0.0100376028567553	0.11572360247373599	-0.0382321290671825	-0.00899022817611694	0.0203021429479122	-0.0211841762065887	0.016363013535738002	0.0212138742208481	-0.0694145113229752	-0.00325351441279054	0.0922514498233795	-0.0361760817468166	0.0150312408804893	-0.0145770087838173	0.0105428947135806	0.0900400206446648	-0.0208219569176435	0.0214889328926802	-0.0748406201601028	-0.0190802458673716	-0.055992666631937006	-0.141575217247009	0.0110758570954204	0.0280569214373827	-0.0183711741119623	-0.0570647530257702	-0.00831048842519522	0.077378123998642	-0.0210461132228374	0.0993635952472687	0.0056	0.0265	-0.0098	-0.0066	0.0006	0.0099	-0.0024	0.0135	0.0101	-0.0147	0
HG00101	0.0149140022695065	0.0100226728245616	0.0721672624349594	0.00845936220139265	0.047200582921504995	-0.12418151646852499	-0.0139789041131735	-0.00138284859713167	0.0018111498793587102	0.0615690834820271	0.08026810735464099	-0.00119256088510156	0.0394550561904907	0.0443860292434692	0.0362321212887764	0.0409979075193405	-0.0400665327906609	0.0462140701711178	-0.00262662023305893	-0.0177815351635218	0.0736744850873947	-0.0438138358294964	0.0386628843843937	0.0245795696973801	0.0621551461517811	0.0291193053126335	-0.0559521056711674	0.0167620629072189	-0.0583320669829845	-0.009594563394784929	0.0214854944497347	0.0258971694856882	0.0895392820239067	-0.0838850736618042	-0.000546939205378294	0.0319050997495651	-0.00105606275610626	-0.00139363738708198	-0.0033296819310635302	0.130494594573975	-0.0811195522546768	0.00560697307810187	0.00807364657521248	0.0513128861784935	0.0059	0.0263	-0.0106	-0.0091	0.0034	0.0175	-0.0073	0.0173	0.0153	-0.0119	1
HG00102	0.11636612564325301	0.0444901622831821	0.0512292087078094	-0.0277121961116791	0.0118469148874283	0.008534467779099941	-0.05840764939785	0.00246545928530395	0.0624694786965847	-0.0695037171244621	0.0660716667771339	0.0288127344101667	0.0487493500113487	-0.00690996227785945	-0.0143901975825429	0.0488360971212387	-0.0268487855792046	0.0175788328051567	0.118485882878304	-0.0431501008570194	-0.0781752318143845	-0.0358061268925667	0.0546070337295532	0.278012186288834	-0.0397083051502705	0.0483508631587029	-0.0823789462447166	-0.0425100289285183	0.0372685194015503	0.104722559452057	-0.0907518267631531	-0.118807591497898	0.11302646994590801	-0.00586319901049137	-0.0295890010893345	-0.00999414827674627	0.0625506788492203	-0.0227923952043056	-0.0437374450266361	-0.0767912715673447	-0.0441073626279831	-0.00325796287506819	-0.0187473949044943	0.0664027109742165	0.0062	0.0262	-0.0102	-0.0077	0.0062	0.0188	-0.0073	0.0202	0.0131	-0.0096	0
HG00103	0.0499031580984592	-0.0383959040045738	-0.084592804312706	0.0423454307019711	0.0268673747777939	-0.0626969933509827	-0.0777929946780205	-0.0270095262676477	-0.0166915711015463	-0.0565580576658249	0.0120338201522827	0.00975596904754639	-0.02896973118186	-0.0440306141972542	0.126811906695366	-0.0166322533041239	0.00513329682871699	-0.025608217343688	0.0357400067150593	0.0818465501070023	0.0959236770868301	0.000424008321715519	-0.0113871190696955	0.0037111598066985603	0.064274474978447	0.100365370512009	0.0321995168924332	0.0152639001607895	0.00610951613634825	-0.0133390249684453	0.0207819510251284	-0.0661051049828529	0.0419451929628849	-0.11198012530803698	0.0167471878230572	0.00297435186803341	-0.0853609517216682	-0.11076178401708599	-0.0362720862030983	0.0568971782922745	0.137320041656494	0.0364720486104488	-0.00736179435625672	0.0537773445248604	0.0059	0.0266	-0.0112	-0.0076	0.0007	0.0122	-0.0039	0.0138	0.0155	-0.013	1
HG00105	-0.0100007774308324	-0.0389660336077213	0.0514927543699741	0.0803630128502846	-0.0276998616755009	-0.0608376227319241	-0.0280386637896299	-0.0589777231216431	0.0329810008406639	-0.0349178612232208	0.11270192265510601	0.05979519337415701	0.02694340236485	-0.0377420857548714	0.0122065460309386	0.0574316345155239	0.0418573617935181	0.00260738213546574	-0.0516532547771931	0.0157250817865133	0.0455817021429539	-0.0367882139980793	0.0204674061387777	-0.0059669669717550295	0.0312818549573421	-0.000741492374800146	-0.0287502631545067	0.0108888391405344	-0.0801739022135735	-0.030646163970232	-0.033258743584156	-0.0057706683874130206	-0.0235603395849466	-0.00220108288340271	0.00956446956843138	-0.0560488775372505	-0.0675383135676384	0.0355600900948048	-0.0853265225887299	0.0389183908700943	-0.0643719062209129	-0.0755908861756325	-0.0393713153898716	0.0534300096333027	0.0058	0.0263	-0.0102	-0.0084	0.0027	0.0127	-0.0049	0.0123	0.0131	-0.0116	1
HG00106	0.0405190475285053	-0.0350759662687778	-0.0354747921228409	0.0817596018314362	-0.0599316135048866	-0.0570570379495621	-0.0050742644816637	-0.0232098065316677	0.0536833070218563	-0.0510675273835659	0.00350802019238472	-0.0406251139938831	-0.079332061111927	-0.00019226994481868999	0.0361442565917969	0.0845794156193733	-0.00537977600470185	-0.0830980464816093	-0.034815788269043	-0.0187115129083395	0.0343185178935528	0.102468602359295	-0.0817214995622635	-0.0203494522720575	0.0348720066249371	-0.0168529935181141	0.0191111695021391	-0.00304176285862923	-0.0114837409928441	0.0135500719770789	-0.0892854109406471	0.0178646873682737	0.0461154319345951	0.00317626702599227	0.016669724136591003	0.00315798027440906	0.0187927428632975	0.0980427414178848	-0.0703275054693222	-0.052107959985733004	0.0486543104052544	-0.0234940964728594	-0.0195627883076668	0.0582099817693233	0.0062	0.0262	-0.01	-0.0047	0.0007	0.0147	-0.0032	0.008	0.014	-0.0099	0
HG00108	0.0103785023093224	-0.026115071028471003	-0.00331915845163167	-0.0161718502640724	0.0724270269274712	-0.0397025793790817	0.0205253176391125	-0.0381853319704533	-0.0100952237844467	-0.0150320632383227	0.0110963201150298	0.0008711220580153169	-0.0456150993704796	-0.00242296140640974	-0.0111112091690302	0.0998646393418312	0.0390279553830624	-0.0026304794009774897	-0.0930387675762177	-0.0559009499847889	0.0202655512839556	-0.0408713482320309	0.122238166630268	0.0652513802051544	-0.007732791360467671	-0.0373428873717785	-0.0396545380353928	0.0894644781947136	0.0112615376710892	0.0220701191574335	0.10394854843616498	-0.04779041558504099	0.0210045836865902	0.142914161086082	0.0815597251057625	-0.0272329822182655	-0.0170448292046785	-0.0371429771184921	0.00563148921355605	-0.00709332339465618	-0.0883091390132904	-0.0170840639621019	0.0045892014168202894	-0.00420794636011124	0.0056	0.0264	-0.0109	-0.0085	0.0003	0.0173	-0.0067	0.015	0.0076	-0.007	1
HG00109	-0.0144966375082731	-0.0164749678224325	-0.000284297304460779	0.00208457675762475	0.0214570946991444	-0.0496373772621155	-0.0115373963490129	0.0420971997082233	0.0139348795637488	-0.0378699935972691	0.10177829861640901	-0.0397556237876415	-0.009427842684090141	-0.0105117158964276	-0.0334610417485237	0.0187244582921267	-0.0632058382034302	0.0644301697611809	0.0229464378207922	-0.0538072735071182	0.0572596341371536	0.1366226375103	0.152462050318718	-0.0175279192626476	-0.0129089783877134	-0.109684057533741	-0.0254519693553448	-0.0129713090136647	0.0237141493707895	0.18909570574760395	-0.05778953433036799	0.0476162806153297	-0.0314208753407001	-0.009510910138487821	0.0510446988046169	0.0721975862979889	-0.0465622842311859	0.0240363124758005	0.0211828239262104	-0.00538945198059082	0.0596101097762585	0.0284551605582237	0.0878960639238358	-0.0132997706532478	0.0059	0.0266	-0.0116	-0.0089	0.0019	0.0131	-0.0042	0.0138	0.0169	-0.0123	1
