SampleID,Sex,Population,Superpopulation
HG02545,1,ACB,Africa
NA20357,2,ASW,Africa
NA19455,1,LWK,Africa
NA19355,2,LWK,Africa
HG03209,1,MSL,Africa
HG03190,1,ESN,Africa
HG03291,2,ESN,Africa
HG02554,1,ACB,Africa
NA20332,2,ASW,Africa
NA20296,2,ASW,Africa
HG03073,2,MSL,Africa
HG02481,1,ACB,Africa
NA20346,1,ASW,Africa
HG02095,2,ACB,Africa
NA19149,2,YRI,Africa
NA19107,1,YRI,Africa
HG02343,1,ACB,Africa
HG02624,2,GWD,Africa
NA18523,2,YRI,Africa
HG02144,2,ACB,Africa
HG03115,1,ESN,Africa
HG03114,2,ESN,Africa
HG02484,1,ACB,Africa
NA19247,2,YRI,Africa
HG02108,2,ACB,Africa
NA18874,1,YRI,Africa
HG02595,2,GWD,Africa
NA19153,1,YRI,Africa
HG03040,2,GWD,Africa
HG02439,1,ACB,Africa
NA20351,1,ASW,Africa
HG02757,2,GWD,Africa
HG02580,2,ACB,Africa
HG03458,2,MSL,Africa
HG02143,1,ACB,Africa
HG03078,1,MSL,Africa
NA19312,1,LWK,Africa
NA20287,2,ASW,Africa
NA19430,1,LWK,Africa
HG02322,2,ACB,Africa
HG03401,2,MSL,Africa
NA19159,2,YRI,Africa
HG03436,1,MSL,Africa
HG03539,2,GWD,Africa
NA18871,1,YRI,Africa
HG02851,1,GWD,Africa
NA19332,2,LWK,Africa
HG03432,1,MSL,Africa
HG02643,2,GWD,Africa
NA19256,1,YRI,Africa
HG01271,1,CLM,America
HG01455,1,CLM,America
NA19717,1,MXL,America
HG02278,2,PEL,America
NA19770,2,MXL,America
HG01280,1,CLM,America
HG01374,1,CLM,America
NA19740,2,MXL,America
HG01200,1,PUR,America
HG01250,1,CLM,America
NA19794,2,MXL,America
HG01260,2,CLM,America
NA19678,2,MXL,America
NA19792,1,MXL,America
NA19785,2,MXL,America
HG01083,2,PUR,America
HG01462,2,CLM,America
HG01378,2,CLM,America
NA19669,2,MXL,America
HG01456,2,CLM,America
NA19750,1,MXL,America
HG02277,1,PEL,America
HG02008,1,PEL,America
HG01923,1,PEL,America
HG01372,2,CLM,America
HG01992,2,PEL,America
NA19663,2,MXL,America
HG01323,2,PUR,America
HG00640,1,PUR,America
HG01965,2,PEL,America
HG01980,2,PEL,America
HG01067,2,PUR,America
HG01325,1,PUR,America
HG01242,2,PUR,America
HG01342,2,CLM,America
HG01362,1,CLM,America
HG01413,1,PUR,America
HG01161,1,PUR,America
HG01982,1,PEL,America
HG01991,1,PEL,America
HG01464,1,CLM,America
NA19780,1,MXL,America
HG01351,2,CLM,America
HG01136,1,CLM,America
HG01095,2,PUR,America
HG02275,2,PEL,America
HG01080,2,PUR,America
HG00739,1,PUR,America
HG01942,2,PEL,America
HG01389,1,CLM,America
NA18945,1,JPT,East Asia
NA18539,2,CHB,East Asia
NA18609,1,CHB,East Asia
HG01873,1,KHV,East Asia
NA18749,1,CHB,East Asia
HG00437,2,CHS,East Asia
HG00513,2,CHS,East Asia
HG02394,1,CDX,East Asia
NA18571,2,CHB,East Asia
NA18748,1,CHB,East Asia
NA19011,2,JPT,East Asia
NA19075,1,JPT,East Asia
NA18537,2,CHB,East Asia
HG02390,1,CDX,East Asia
HG02122,1,KHV,East Asia
NA18636,1,CHB,East Asia
HG00500,1,CHS,East Asia
HG00663,2,CHS,East Asia
NA18547,2,CHB,East Asia
NA18642,2,CHB,East Asia
NA18637,1,CHB,East Asia
HG01870,2,KHV,East Asia
HG02023,1,KHV,East Asia
HG01598,2,KHV,East Asia
NA18961,1,JPT,East Asia
HG02396,1,CDX,East Asia
HG02017,1,KHV,East Asia
NA18973,2,JPT,East Asia
HG00698,1,CHS,East Asia
NA18980,2,JPT,East Asia
NA18979,2,JPT,East Asia
HG02407,1,CDX,East Asia
NA18622,1,CHB,East Asia
HG00690,2,CHS,East Asia
NA18573,2,CHB,East Asia
HG00651,2,CHS,East Asia
HG01855,2,KHV,East Asia
HG02364,1,CDX,East Asia
HG00472,1,CHS,East Asia
HG00707,1,CHS,East Asia
HG00581,2,CHS,East Asia
HG01797,2,CDX,East Asia
HG00610,1,CHS,East Asia
HG02375,1,CDX,East Asia
NA18982,1,JPT,East Asia
HG02180,2,CDX,East Asia
HG02380,1,CDX,East Asia
HG02121,2,KHV,East Asia
NA19007,1,JPT,East Asia
NA18953,1,JPT,East Asia
HG00233,2,GBR,Europe
HG00155,1,GBR,Europe
NA20762,1,TSI,Europe
NA20522,2,TSI,Europe
HG00262,2,GBR,Europe
HG00334,2,FIN,Europe
HG01507,2,IBS,Europe
HG01768,2,IBS,Europe
HG00284,1,FIN,Europe
HG00133,2,GBR,Europe
HG00242,1,GBR,Europe
HG01632,2,IBS,Europe
HG00237,2,GBR,Europe
HG00136,1,GBR,Europe
HG01777,1,IBS,Europe
HG00157,1,GBR,Europe
HG00353,2,FIN,Europe
HG00108,1,GBR,Europe
NA20767,1,TSI,Europe
NA12144,1,CEU,Europe
HG00306,2,FIN,Europe
NA10851,1,CEU,Europe
NA12414,2,CEU,Europe
HG01668,2,IBS,Europe
NA20519,1,TSI,Europe
HG02232,2,IBS,Europe
HG00142,1,GBR,Europe
NA12155,1,CEU,Europe
NA12760,1,CEU,Europe
HG00349,2,FIN,Europe
HG00111,2,GBR,Europe
NA20510,1,TSI,Europe
NA20534,1,TSI,Europe
NA07347,1,CEU,Europe
HG00379,2,FIN,Europe
HG00304,2,FIN,Europe
HG01770,2,IBS,Europe
HG02238,1,IBS,Europe
NA12828,2,CEU,Europe
NA20760,2,TSI,Europe
HG00313,2,FIN,Europe
HG00260,1,GBR,Europe
HG00336,1,FIN,Europe
HG02236,1,IBS,Europe
NA12762,1,CEU,Europe
NA12058,2,CEU,Europe
HG01767,1,IBS,Europe
HG00285,2,FIN,Europe
HG01678,1,IBS,Europe
