Sample,sex,super_population
HG00185,M,Europe
HG00188,M,Europe
HG00242,M,Europe
HG00342,M,Europe
HG00358,M,Europe
HG00457,M,East Asia
HG00613,M,East Asia
HG00671,M,East Asia
HG00742,M,America
HG01054,M,America
HG01063,M,America
HG01097,M,America
HG01250,M,America
HG01365,M,America
HG01383,M,America
HG01392,M,America
HG01816,M,East Asia
HG02061,M,East Asia
HG02330,M,Africa
HG02379,M,East Asia
HG02804,M,Africa
HG03024,M,Africa
HG03054,M,Africa
HG03060,M,Africa
HG03109,M,Africa
HG03385,M,Africa
HG03472,M,Africa
HG03652,M,South Asia
HG03792,M,South Asia
HG03830,M,South Asia
HG03848,M,South Asia
HG03885,M,South Asia
HG03953,M,South Asia
HG03965,M,South Asia
HG04003,M,South Asia
HG04093,M,South Asia
HG04238,M,South Asia
NA18510,M,Africa
NA18559,M,East Asia
NA18639,M,East Asia
NA18974,M,East Asia
NA19066,M,East Asia
NA19079,M,East Asia
NA19107,M,Africa
NA19670,M,America
NA19700,M,Africa
NA20278,M,Africa
NA20518,M,Europe
NA21093,M,South Asia
HG00120,F,Europe
HG00231,F,Europe
HG00313,F,Europe
HG00343,F,Europe
HG00437,F,East Asia
HG00581,F,East Asia
HG01205,F,America
HG01272,F,America
HG01369,F,America
HG01468,F,America
HG01628,F,Europe
HG01673,F,Europe
HG01679,F,Europe
HG01685,F,Europe
HG01807,F,East Asia
HG01841,F,East Asia
HG01863,F,East Asia
HG01976,F,America
HG02006,F,America
HG02105,F,America
HG02139,F,East Asia
HG02181,F,East Asia
HG02286,F,America
HG02465,F,Africa
HG02646,F,Africa
HG02649,F,South Asia
HG02861,F,Africa
HG03458,F,Africa
HG03491,F,South Asia
HG03595,F,South Asia
HG03684,F,South Asia
HG03733,F,South Asia
HG03780,F,South Asia
HG03787,F,South Asia
HG03868,F,South Asia
NA10847,F,Europe
NA11830,F,Europe
NA12046,F,Europe
NA12751,F,Europe
NA18909,F,Africa
NA18954,F,East Asia
NA19023,F,Africa
NA19024,F,Africa
NA19064,F,East Asia
NA19152,F,Africa
NA19734,F,America
NA19746,F,America
NA19752,F,America
NA20542,F,Europe
NA20802,F,Europe
NA21101,F,South Asia
